Location,Price,Zone,City,Area
SE Vende Como Terreno EN Gonzalo Bautista Alamos,"MN 2,700,000",Los Alamos Toltepec, Puebla,859 m²
Error,Error,Error,Error,Error
Harás del Bosque,"MN 990,000",Flor del Bosque, Puebla,534 m²
68 PONIENTE,"MN 1,189,000",20 de Noviembre, Puebla,183 m²
Venta de Bodegas y Naves con Espuela de Ferrocarril,"MN 180,000,000",La Libertad, Puebla,56000 m²
El Pedregal,"MN 2,625,000",La Calera, Puebla,375 m²
Error,Error,Error,Error,Error
Calzada del Roble#4 Fraccionamiento Cipreses de Zavaleta Colonia Zavaleta,"MN 9,600,000",Cipreses Zavaleta, Puebla,800 m²
27 poniente,"MN 6,580,000",Los Volcanes, Puebla,329 m²
Bello Horizonte,"MN 2,430,000",Bello Horizonte, Puebla,292 m²
Error,Error,Error,Error,Error
45 sur,"MN 1,700,000",Ampliacion Reforma, Puebla,172 m²
Error,Error,Error,Error,Error
calle Cedros,"MN 7,000",El Cerrito, Puebla,1000 m²
VILLA LAS FLORES,"MN 112,436,500",Villa las Flores, Puebla,20443 m²
fraccionamiento la concepción,"MN 8,039,200",Fraccionamiento La Concepción, Puebla,357 m²
Jose Ma Morelos y Pavon,"MN 1,600",El Encinar, Puebla,1200 m²
Prolongación Hispanosuiza,"MN 3,640,000",La Calera, Puebla,520 m²
Prolongación Hispanosuiza,"MN 2,625,000",La Calera, Puebla,375 m²
11 Sur,"MN 850,000",Gabriel Pastor , Puebla,10 m²
Error,Error,Error,Error,Error
Fuente del rosario,"MN 2,660,000",Moratilla, Puebla,280 m²
Av 15 de Mayo,"MN 8,000",Villa Posadas, Puebla,4123 m²
Tehuacán y petlancingo,"MN 55,000,000",La Paz, Puebla,3090 m²
petlancingo,"MN 30,000,000",La Paz, Puebla,1900 m²
Lago de Valsequillo,"MN 25,620,000",Oasis Valsequillo, Puebla,98521 m²
"blv. atlixco, torres","MN 26,346,000",Concepción la Cruz, Puebla,6591 m²
FRACCIONAMIENTO CABAÑAS DE VALSEQUILLO,"MN 2,500,000",Oasis Valsequillo, Puebla,775 m²
Error,Error,Error,Error,Error
parque anahuac,"MN 6,400",La Paz, Puebla,219 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
Venta de Propiedad con departamentos en Zona Hospital de Traumatologia y Ortopedia .,"MN 2,500,000",Pueblo San Pablo Xochimehuacan, Puebla,477 m²
Nicolas Bravo,"MN 300,000",Pueblo Santo Tomás Chautla, Puebla,287 m²
"VENTA DE TERRENO DE 14,519m2, MUY CERCA DE PERIFERICO Y A UN COSTADO DE HARAS Y BOSQUES DE CHAPULTEPEC","MN 6,969,120",Francisco Javier Clavijero, Puebla,14519 m²
"Terreno de 789m2 en Venta Santa Cruz Buenavista, cerca Zavaleta y Recta a Cholula 0","MN 3,850,000",Santa Cruz Buenavista, Puebla,789 m²
